Puzzle,Solution,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
9...3..8..85...63...2...7.9........6..8719.....368.2......61..7...32..1....9..3.8,976432185485197632312856749159243876268719453743685291834561927697328514521974368,28,37,15,3,0,0,0,1,0,Expert,
3...47..95......7..29...38.8.......645......3....6..25...5.....9.....2.7....8.49.,318247569564893172729651384892135746456728913137964825241579638983416257675382491,25,47,18,0,1,0,0,5,2,Expert,
...12.9.8.....45...1...53...63..18..1......9.9.856..41..5.8...6..............64..,534127968879634512216895374463971825157248693928563741795482136641359287382716459,26,51,15,0,0,0,0,2,2,Expert,
..975..2....3...6.5.....1.31.3.6......7.3..............4.92..3..12..5.969..6....7,639751428871342965524896173193564782287139654465287319746928531312475896958613247,26,50,19,0,2,0,1,6,4,Expert,
...45.28...9.....7.28....5....72....4...1..3........48...9.7......24...9.7..8...5,716459283549832617328176954183724596495618732267593148854967321631245879972381465,24,88,17,3,0,4,2,9,12,Expert,
...8.6....7.......62..5.....1...5.7958.6....17....1.8524....9..1..2....7...9.8..6,935826714874139562621754893412385679589672341763491285246517938198263457357948126,27,48,5,2,0,0,0,1,0,Expert,
..52.8.....4.9.......3........4...8...2.35...4..1.65...6.....933.8.6..42....1.6.5,915278436834691257627354918596427381182935764473186529761542893358769142249813675,26,68,21,2,1,0,0,6,8,Expert,
1234.97....5......7.92..41...25..9...7....3.44....6..............73.....9.....25.,123489765645173892789265413312548976576921384498736521251894637867352149934617258,25,45,16,2,0,2,0,2,2,Expert,
....71.........56..25..81...........3..8.9.....8.13.7.19....2..83...6.91..7...6..,643571829781942563925638147419725386372869415568413972196387254834256791257194638,25,64,18,1,0,3,0,3,2,Expert,
....6...3..35.7....4........6897..5227..3....5........6...5..394..62..87.8....4..,852169743913547268746382915168974352274835691539216874627458139491623587385791426,27,55,21,0,0,1,0,2,2,Expert,
.68.1...........9.......6..3...8.1...89.3.2.61...67....2..9..47..14..8.27..8.....,568319724217648395934752618376284159489531276152967483823196547691475832745823961,26,45,9,1,0,0,0,1,0,Expert,
.1487....9...248...5.93.4.739......2............3..5..28..4.31...3.1.7.5.........,614875923937624851852931467396458172528197634741362598285746319463219785179583246,27,48,5,0,0,1,0,1,0,Expert,
7953.........8......37.....5...9.6...4...2.....75...92....6.3.98.........2.87..6.,795326841264189753183754926512497638948632175637518492471265389856943217329871564,24,32,27,1,0,0,0,2,2,Expert,
..5.6..31.....1..94.....5.......6...186......5.34..81...9.376......4.3...5.....9.,895264731732581469461793528974816253186352947523479816249137685618945372357628194,25,62,18,2,0,1,0,4,4,Expert,
.9.85..6..4....8........2.9..6.2.........7.1.28.6..5.....1.94..7...4....6........,193852764542796831867413259976521348435987612281634597328169475759348126614275983,22,42,16,3,0,1,0,1,0,Expert,
..25.4769.............6.2.46.5....1.29..7.....17...4.....682..54..1....6.....9...,382514769964827531571963284645298317293471658817356492739682145428135976156749823,26,36,18,3,0,0,0,1,0,Expert,
...95....4...86....2....6....9...3.7...34....6...752....3..4...2...3..6.5...62..8,386957142415286973927413685149628357752349816638175294863594721274831569591762438,25,64,18,4,0,1,0,6,6,Expert,
3...928.........3..2..5...693.621...2.5...........7...7.29..6.568.7......9....1.7,356192874419876532827354916934621758275489361168537429742913685681745293593268147,27,104,13,4,0,3,0,9,8,Expert,
.9....1....2...65.5...2.8.99..6......8...9.1..1....4.835.2......4...69..8.9.....4,498365127172948653563127849934681275285479316617532498356294781741856932829713564,26,41,17,2,1,2,1,3,2,Expert,
....97.4..5.............28761.2..........9..1..94..6....1..547.8......5..4.8..9.6,182697543754328169936514287618253794425769831379481625261935478897146352543872916,25,78,11,3,2,2,0,6,4,Expert,
..4....5...32.98.1.97...4..3....7.......8.9..9.5..1.8.1.......77.2.....3...5.....,214768359563249871897153426348927165671485932925631784186392547752814693439576218,24,62,15,1,1,5,0,6,4,Expert,
..17.....39.6....22...4.9.....3..7.....4.8.6..6.27...4......3......1..9...79..61.,681729453394685172275143986148356729723498561569271834912867345836514297457932618,25,47,12,2,2,1,0,3,2,Expert,
.....3.4....4.63.7....8..595..728.6......9..2.3.....7.......7..94..7.8..6.3.5....,726593148859416327314287659591728463467139582238645971182964735945372816673851294,26,39,15,3,0,3,0,1,0,Expert,
2..6.1...1...29..7...7....8.9.81.2.....2....5....97...5.41..8.9.2.9...5.....58.6.,247681593158329647639745128395816274761234985482597316574162839826973451913458762,28,50,20,0,0,1,0,3,2,Expert,
...92..4.5.....72......7...2..5.9.3..37..29....5......3.....8..8....3215.9.4....3,718925346543816729629347581261589437437162958985734162356271894874693215192458673,26,44,10,2,0,0,1,1,0,Expert,
.479..8.6..96....1..54...92...8.9.2...4..17...6................4.1.....89..75....,147923856329685471685417392713849625294561783568372149852134967471296538936758214,25,61,12,0,0,1,0,2,2,Expert,
.61.....2.84325.........85...2..8.....871.6......5......7..1.454.6.3.........2.3.,561847392984325761723196854142968573358714629679253418237681945416539287895472136,26,34,20,1,0,0,0,1,0,Expert,
....9.........5.4....2.4751..64.9.......372..97.52.13..4..5.62.5.............1..7,754198362162375948389264751236419875415837296978526134841753629597682413623941587,27,48,11,1,0,0,0,2,2,Expert,
....5..2....931.54......6.94.....5.....4.9.....961........4...3.2.......6.57..142,947856321862931754153274689418327596536489217279615438791542863324168975685793142,25,92,25,1,0,0,0,8,14,Expert,
1....7.....2.........623....4...8..7..12......984...2..26..493.....9.6.87...3....,164987352932145786587623419245368197371259864698471523826714935413592678759836241,25,68,9,1,0,1,0,5,6,Expert,
24..5..9........64...8.....6...9.1..4.1.....2.9..14.........4.....768.5..6...5.7.,246153798813279564975846213638592147451687932792314685587931426124768359369425871,24,38,18,3,0,0,0,1,0,Expert,
..25...4..54...3..96..2......5...2...2.35.9..1.......863......9......586..9...4..,382579641754816392961423875475198263826357914193264758638745129247931586519682437,25,45,17,0,0,0,0,2,2,Expert,
8.....5...457..2.892.......6....97....7.......1.8....4.9....6.......2.5.1.8.4...7,876421539345796218921538476634219785587364192219857364792185643463972851158643927,24,88,9,2,0,1,0,4,6,Expert,
.1.7.3...5..8.6....6......3.271953...9....71......8.2...5...1........5.8...3.2...,819723654573846291264519873427195386698234715351678429935487162742961538186352947,25,37,18,0,1,1,1,1,0,Expert,
..9..........6...4.5...7.1.....5...2..49..76.32.....4.71.........36.5...4.52....1,649132578137568294258497316976354182584921763321786945712843659893615427465279831,24,60,8,0,1,0,1,3,2,Expert,
13.7....8.......9.492...7..8..2436.9...6..81......1..2.....2......1...86...86.13.,135796428786524391492318765851243679924657813367981542618432957543179286279865134,28,48,10,2,0,3,0,2,2,Expert,
.3......47..9.1.3.1.9.....62.3....9....3..8..9...8...7.7.6.41..842...6..........3,538267914764951238129438756283746591457319862916582347375624189842193675691875423,26,46,8,2,0,0,0,1,0,Expert,
4..5...1..9..42...2....79..3.2.71.5..5..6.......3.......762........5...964...3..5,438596712796142583215837946362971458851264397974385261587629134123458679649713825,26,42,12,0,0,0,0,1,0,Expert,
.4..678....7...5.1..819.....92..8..77...5.4.......9....5....16....2.6....2.......,145367829967824531238195746592438617713652498486719253854973162371246985629581374,24,48,7,4,0,2,0,2,0,Expert,
2..3.91.5..9.....8...542...9..856......2..9.........5645....2.......4.....8.6..3.,246389175539671428781542693974856312865213947312497856457138269693724581128965734,25,39,21,2,1,2,0,2,2,Expert,
....2.1862....5....4.....5.....1..63....8...2.84...5....6...4..5.7..36....27...3.,953427186278165394641938257729514863165389742384672519836291475597843621412756938,25,79,14,1,1,2,0,6,6,Expert,
15....4..........9...4213....63...8.5...6..34....4...2.912.68...4.89.16..........,158937426234685719679421358426379581587162934913548672391256847742893165865714293,27,58,11,1,0,2,1,2,2,Expert,
.....853..9.......1......242...9.31...92.36..8..5.19....1....68326............2..,642718539598432176137659824254896317719243685863571942971325468326984751485167293,26,96,21,0,1,2,0,6,8,Expert,
.39...2.6.............1.5.4..5.231...9...8...68.5..........9.......4.653..1...49.,439857216516234978827916534745623189192478365683591742354769821978142653261385497,24,37,19,0,0,1,0,1,0,Expert,
.8.7..6......2......6591...8...3.7....598..6..61.........2.......8.1925.2....7.1.,589743621134628579726591438892136745475982163361475892917254386648319257253867914,26,60,7,3,1,2,0,3,2,Expert,
....71.5..49.5.7..57...68.1..3..........4.6......1...9.5.9..1....6...5.39.4....6.,638271954149358726572496831763829415891543672425617389357962148216784593984135267,26,55,12,0,0,0,0,2,2,Expert,
....25.9....7..14...53...........5..8.19..4....7..3.2.....39.7.4.....91.2....7..3,746125398392768145185394762634271589821956437957843621518639274473582916269417853,25,44,18,1,2,3,0,3,2,Expert,
.6.........3......285......4....18..1..9..2...9.8....4.3..4.18...1..85...4..6...9,764583921913726458285419637427631895158974263396852714539247186671398542842165379,24,34,22,3,0,0,0,1,0,Expert,
.6..7............3...82...6.946.73....1..2.4....3...9......1..713..6.....86..4...,263179584819456273457823916594617328371982645628345791945231867132768459786594132,24,45,16,2,0,0,0,2,2,Expert,
..2.6...9.....7..1...9.45......526.....3.....5.....2.3.1....4....9..3..7673.4..92,352168749498527361167934528931752684724386915586491273815279436249613857673845192,26,89,14,3,4,3,1,8,10,Expert,
..57.1.3.....521.......8..4234.......98.........9...7..8...4...52.83...9.4..2....,465791238873452196912368754234176985798245361156983472389614527521837649647529813,25,62,12,2,0,1,0,2,2,Expert,
.2.6....7....83.6.......3...75.2.63...6.1....31...854.....7.4.........53.....487.,423651987157983264689247315875429631946315728312768549538176492764892153291534876,26,56,11,4,1,0,0,3,2,Expert,
.....2...7....69.3.6.3.12.5.5...9...37.41....1.9.......4..2....5........631.54..2,913572468725846913468391275254689137376415829189237654847123596592768341631954782,27,90,11,4,0,2,0,8,10,Expert,
3...9...6..4......2.568.43....8..5.4..845.9...........1.6.....8.5....1.2.3..4...9,317594286684132795295687431961873524728456913543219867176925348459368172832741659,26,54,27,0,0,1,0,3,2,Expert,
57...9...3...5..61.16..8......7...9...2.8.6.........832..9...1.7....2.....5....39,578619324329457861416328975184763592932581647657294183263945718791832456845176239,25,91,20,4,0,2,0,8,6,Expert,
....84....9.375.....4..1....7......6.56...8.3.....91...8..1...7.....3.89...5..6.4,317284965698375241524961738179832456256147893843659172985416327461723589732598614,25,61,10,1,0,0,0,2,2,Expert,
.6...13....46....19...2..563.9.1....2.5....7..4........9...74....1.932..7..1.....,567981342824635791913724856379418625285369174146572938698257413451893267732146589,26,61,9,1,2,1,0,4,4,Expert,
...5.7......894.2.....2.......4..6..9.5..2..36....9.72..6...5......35....7..6..89,462517938351894726798326451127483695985672143643159872236948517819735264574261389,25,42,13,0,0,3,0,1,0,Expert,
.3.2.917.......3......512..8.3...52..1.......259....1.7........56.7...38.98..6...,435289176182674395976351284843167529617925843259843617724538961561792438398416752,27,43,10,3,1,6,0,1,0,Expert,
