Puzzle,Solution,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
.4.92.3....67...42.....3..6......7..9.7..18..18.....3.87.....2923.........1......,548926317396718542712543986463852791927431865185697234874365129239174658651289473,25,41,15,4,0,0,0,0,0,Intermediate,
..8..6...1..79..8..3......179..1.........8..5.4..7.....7.68..9........4.....51...,458136729162795384937842651795213468213468975846579213371684592589327146624951837,22,41,18,0,0,5,0,0,0,Intermediate,
.13.4.9.........27....57.6..94..6..53.....1...6.....7.....1....245.......36......,713642958658391427429857361894176235372485196561239874987513642245968713136724589,23,46,12,2,0,0,0,0,0,Intermediate,
.4..6......9.2..8..........4..15.7....5.8..9...82....1...7..84..62..8........9...,547861932619324587283975164496153728125487693378296451951732846762548319834619275,22,41,18,2,0,0,0,0,0,Intermediate,
.47..135.3.57...9........4....5.......9.6......2......57..9.4....16.3..94.....23.,647981352315724896928356147864517923139462785752839614573298461281643579496175238,25,35,21,2,1,2,0,0,0,Intermediate,
.6........15...2.94.9......5..17..2.7...3..9.9.2.65..36..7..3.1..7...6.4..3......,268594137315687249479321865536179428741238596982465713694752381827913654153846972,27,48,6,2,1,0,0,0,0,Intermediate,
.....15...217.........5.............31..4..9..742.3..12.5.178..79.8.5.4..4.9.....,967321584521784936483659217659178423312546798874293651235417869796835142148962375,27,38,16,2,0,0,0,0,0,Intermediate,
..........27..8..65167..8....8.....9.5...9.727..6.......9826..5....5....3...9....,843961257927538146516742893438275619651489372792613584179826435284357961365194728,25,36,20,2,0,0,0,0,0,Intermediate,
9...7......2..8.76.6..9.............3.91..2.....2..5....3.81.6..8.....1..763...9.,941672358532418976867593124724859631359164287618237549293781465485926713176345892,24,33,24,1,0,0,0,0,0,Intermediate,
...1...3......8.2....76.5.151.8...743.....2...6...3..5.5.62.8..1....5.4.........3,625149738791538426834762591512896374387451269469273185953624817176385942248917653,26,44,11,2,0,2,0,0,0,Intermediate,
1.....43..7..645....8.7........8..9.7196......6......1..38......9..5.......3..6..,156928437372164589948573162235481796719635248864792351623847915491256873587319624,23,47,11,1,0,0,0,0,0,Intermediate,
39..6.4..............4......57.4.6.9....5..8.8....1..79.4.753.6.....9....86....75,398167452641582793725493168157248639439756281862931547914875326573629814286314975,26,40,15,4,0,0,0,0,0,Intermediate,
.4....85..9.4.7...1...68..4..1..5.4...2...7.1..7..1..9.6......22..9.....5.....6..,746129853398457126125368974631795248952684731487231569869573412274916385513842697,25,39,17,3,0,0,0,0,0,Intermediate,
..3.8....28...6...795.3..8..........6.....24..5.....38..6458.79.7.2.3...54..7....,463789512281546397795132486814327965637895241952614738326458179179263854548971623,28,50,3,1,0,1,1,0,0,Intermediate,
25....3..9..8..5...4.3.....82.5..9....1.9......9.4..73.3..........95.......4..2.7,257169348913874562648325791824537916371698425569241873435712689782956134196483257,24,45,12,2,0,0,0,0,0,Intermediate,
4.9.....361.........8.9.......68....972..38...............74.6...783.4.9..3..9.8.,429758613615342978738196542354687291972413856186925734891274365567831429243569187,25,43,13,1,0,0,0,0,0,Intermediate,
....8...1...41.93..3......7..1....4.4...5.1.2.2.9..7.........29..5...8..21...3...,547389261862417935139526487951732648473658192628941753784165329395274816216893574,24,38,19,0,0,2,0,0,0,Intermediate,
...72.........3...9576143......57....654..9...4.........35.27..2..1...9..91......,638725419124983657957614328319257846865431972742869135483592761276148593591376284,26,46,9,4,0,0,0,0,0,Intermediate,
...1.7.....75.92..9.......1...3...45.4....9..13...2...4......82.7.8..5......213..,523187496617549238984236751269378145748615923135492867491753682372864519856921374,25,43,13,1,0,7,0,0,0,Intermediate,
....8.2.....6.1......39....2..4..5..56...3.8.1..2.8..3....4......18....6.54..6.9.,796584231832671954415392867283467519567913482149258673678149325921835746354726198,25,40,16,1,0,0,0,0,0,Intermediate,
4..........5...3.7.6..9..12....3.....1...5..6392........7.......3..4762.254......,471253869925186347863794512546931278718425936392678154687512493139847625254369781,24,44,13,1,0,0,0,0,0,Intermediate,
7.95..2..5.3....6..46...9...8..6..2.....47.........3.63.5.9.8.....4...3.........9,719536284523984167846712953987365421632147598154829376375691842291478635468253719,24,31,26,1,1,3,0,0,0,Intermediate,
.6............2.8.2..45......7..4612..8..74..34...6.....23....44..2..17.7.......5,569783241174692583283451796957834612628517439341926857812375964435269178796148325,26,35,20,1,0,0,0,0,0,Intermediate,
.64.9.7..2.8....9..75..8.6..9.3....5..6542.3.....7.......253..6................52,364195728218736594975428163497361285186542937523879641749253816852614379631987452,26,52,3,1,0,0,0,0,0,Intermediate,
..4.2.9.6...1.7...........8.51.982..8........27....4....8....54..59..762..7......,514823976982167543763459128451698237839742615276315489198276354345981762627534891,25,46,10,3,0,1,0,0,0,Intermediate,
1........593..4..1.24.......85..1...9.1..........4...34...3259...25..6.8....6.1..,178293456593674281624158379385721964941386725267945813416832597732519648859467132,26,49,6,1,2,0,0,0,0,Intermediate,
.......67......21..472............4...1.6.79.......3..17.6...3..53.1..74..439...2,215938467389476215647251983738129546421563798596784321172645839953812674864397152,26,44,11,1,0,1,0,0,0,Intermediate,
.9.8..7.3.....1.5......5..8..3.....796..........12..6....5.21.9...37.....87......,295846713834791256671235498413968527962457831758123964346582179129374685587619342,23,45,13,5,0,3,0,0,0,Intermediate,
2....5.8.65.2.......3.8..4.......5.9....386......59....32.....4.......9..9.7.4...,249315786658247913173986245486172539925438671317659428732591864564823197891764352,23,47,11,0,1,6,0,0,0,Intermediate,
.....4...5...8..3...9..5..49..2...4..2..1897...1......8.3.29...2...7.....7.53....,632794158547182639189365724968257341324618975751943286813429567295876413476531892,25,37,19,0,1,1,1,0,0,Intermediate,
7.4....5...17.8.6...62....1........5...976.......4.....27.9...6.15...9....86..2..,734169852251738469986254731179382645543976128862541397427893516615427983398615274,25,35,21,2,1,0,0,0,0,Intermediate,
.842.5.79..39.....7.2.4...3.....4.........15........8.....81...84........5.472.38,184235679563917824792846513218564397436798152975123486329681745847359261651472938,26,48,7,2,0,0,0,0,0,Intermediate,
9......83..37.6.9.6..2....7............5.7.31...1....2.6...9.5.5.7........1....69,972451683413786295685293417154932876826547931739168542268379154597614328341825769,24,42,15,2,0,0,0,0,0,Intermediate,
23...51.........2...6.7...39........183.2.....5.9...7....78.....6..52.3.8...695.2,238495167791836425546271893974513286183627954652948371325784619469152738817369542,27,37,17,1,0,2,0,0,0,Intermediate,
......32.23.4.....8.6......76...........8.....1....567....3.1.5..287...3...14578.,571968324239417856846253971764591238325786419918324567487632195152879643693145782,26,45,10,2,0,0,0,0,0,Intermediate,
.....1......36..28.5..24..1.6......331...2..6......8..8....35...9.1..6.2..5.....9,283971465149365728756824391568419273314782956972536814821693547497158632635247189,25,34,22,3,0,1,0,0,0,Intermediate,
...4.9......27....75.......27..3...858.....42.......5.3.9...7........4918.......5,162459873938271564754368129276534918581697342493812657349125786625783491817946235,23,47,11,1,0,0,0,0,0,Intermediate,
....82.56.....6...1.......9...2519.......8......46.2.5.3.....8...6..5...8.5.496.1,394182756758936142162574839643251978521798463987463215239617584416825397875349621,26,48,7,2,0,1,0,0,0,Intermediate,
....6...97....3....6.....2.2.64....3.4..51..........7.3.7..56..1.529.....2......5,532164789718923546469578321276489153943751268851632974397845612185296437624317895,24,42,15,2,0,0,1,0,0,Intermediate,
7.3..1....9..5....6.1...........9......5.6.....91..43.8.49...56....4...39.76....1,783261594492357618651894327175439862348526179269178435824913756516742983937685241,25,37,19,1,0,0,0,0,0,Intermediate,
..1.572....72....3....8......4.723..3.......4.25..4..68.25.....5..43.........6...,431957268687241593259683471164872359398165724725394186842519637576438912913726845,25,31,25,1,0,0,0,0,0,Intermediate,
..4.9.25.18...243....87.9..7...21...84......5.92.....4.27.....3.1..........7.....,674193258189652437235874961756421389841369725392587614527916843913248576468735192,26,38,17,0,0,1,0,0,0,Intermediate,
.....9.12...5..9.313.......5.67..8...8.3............25..2....98.9....7..863......,657839412248516973139472586526741839981325647374968125712654398495283761863197254,24,40,17,1,0,2,0,0,0,Intermediate,
.......7..9.6..4.5.8537.9..23.9....8..4.6..37......5....6..47...4.......5.9....6.,621549873793628415485371926237915648954862137168437592316254789842796351579183264,26,36,19,1,0,3,0,0,0,Intermediate,
.5.7.6..4..2..19....9.4.....1.9....85...7.6....7.62...9....54..8......2.....1.8..,358796214742581936169243785216954378593178642487362159931825467874639521625417893,25,41,15,1,1,0,0,0,0,Intermediate,
...4.93....5..6....6.2..9...2....6...9..6..2.1..5.8...2.4.....3....5....63..1.2..,812479365975136842463285971527943618398761524146528739254697183781352496639814257,24,37,20,1,0,0,0,0,0,Intermediate,
...7........16....63.4.52..57.3...1....5.6..8..1.................4.2.7.6283..7..5,125738469498162357637495281579384612342516978861279543716953824954821736283647195,25,41,15,1,0,0,0,0,0,Intermediate,
8..3.5..2..529.........1....3.7......7.528.31........57.8...69.1.367.....9...2...,849365172315297846267481359531746928976528431482913765728154693153679284694832517,27,41,13,1,0,0,0,0,0,Intermediate,
9.........189....63......42....674.....2...7.....8..2....67..1.....91....23......,942536187718924536356718942235167498489253671671489325594672813867391254123845769,22,40,19,0,0,4,0,0,0,Intermediate,
.6....2.4.3.1.....8.9........1.....3..386....6......2...8..2.697...8.4..1.2...8..,567398214234156798819274356471925683923867541685413927358742169796581432142639875,24,44,13,3,0,0,0,0,0,Intermediate,
.9.874...4.8.216............4...59...........6.1.....416295...7....1...8..7......,296874513438521679715396842843765921529143786671289354162958437354617298987432165,24,50,7,1,0,2,0,0,0,Intermediate,
..1.79....29....1...3.....7....6.....7...1......38.6.12..8....6.48...9...6.243...,481579263729638514653124897134962785876451329592387641217895436348716952965243178,25,40,16,2,0,0,0,0,0,Intermediate,
....8.....2..31.68..925...35....9...31.........6.....563..9...2.8.4.......21.6...,173684529425931768869257413547369281318542697296718345634895172781423956952176834,25,44,12,2,0,0,0,0,0,Intermediate,
4..92...3..56..1...8..14.....1.....9......2.5....5......25..4..36..8..9.8....263.,416925783975638124283714956521376849739841265648259317192563478364187592857492631,26,38,17,3,0,0,0,0,0,Intermediate,
.....1.758..67...4....4.1.2.....8.5.17.32.......7..4......8.7.6......82..6.4....1,924831675851672394736945182493168257175324968682759413519283746347516829268497531,26,45,10,1,0,0,0,0,0,Intermediate,
.......43...8..6....6..7..2.8.......93.4.......76.3.......34..5.4.7.58697.598.2..,298561743473829651156347982684152397931478526527693418869234175342715869715986234,28,33,20,0,0,1,0,0,0,Intermediate,
.........4.8...1...7.....686..4..8....1.....55..782.....2..15..8...27.19.4..6....,916238754458976123273154968629415837781693245534782691392841576865327419147569382,25,37,19,1,0,0,0,0,0,Intermediate,
....7.....3.6.1...6.1..2.7....21......8..5...2..4.8..6427.5....3..784...8..1...6.,542879631739641825681532974964217358178365249253498716427956183316784592895123467,27,44,10,2,0,0,0,0,0,Intermediate,
7.6..3......9.....23.......6...592....8..2..3..13....65..8.193.8.....7...6.5.....,796123854185946327234785619673459281958612473421378596547861932819234765362597148,25,42,14,0,1,0,0,0,0,Intermediate,
8.92......4.7.......7.5...2..84.27.9....1832..3.9..5......4..........17.3......8.,859261437243789651617354892568432719794518326132976548985147263426893175371625984,25,44,12,1,0,0,0,0,0,Intermediate,
...82.....9...4.8..1.6..2....47.....86..92..49...8...6...9.71.......17......3..2.,746825931592314687318679245134756892865192374927483516253947168489261753671538429,25,40,16,4,0,1,0,0,0,Intermediate,
.589...64.3.......4..7.8.135.........8.....3...6..59..9..6............4...1...78.,758913264132546897469728513594832671287169435316475928943687152875291346621354789,23,43,15,0,0,1,0,0,0,Intermediate,
6....9.15......4..2.....763.....1....3...4.2...4.....7...71....1...63.5.396......,673249815851637492249185763562871349738594621914326587425718936187963254396452178,24,34,23,1,0,0,0,0,0,Intermediate,
......41.5....76..1......9.9..8....7...6...4......9...81.5.3...36.4..1...5.9.6..4,697285413543197628128364795931842567275631849486759231814523976369478152752916384,25,45,11,3,0,1,0,0,0,Intermediate,
...3....9..34.9..7....7.2....8..2...2.45.38..5..1...9.1...........7.4...8.591....,782361549653429187491875236918642375274593861536187492167238954329754618845916723,25,51,5,1,0,0,0,0,0,Intermediate,
..8....2..74.6...81.........42.........1.685.....9...2.5....47.6....4.19...7....6,368947125274561398195238647542873961739126854816495732951682473687354219423719586,24,40,17,2,0,0,0,0,0,Intermediate,
..8...........526..1....8.......46...2.8..7.1..5..2.4.7...2..1..9..68..26...4...7,268497153347185269519236874831974625426853791975612348783529416194768532652341987,25,38,18,3,0,2,0,0,0,Intermediate,
.7.6...4..2..89..7..5..4..8......58914...56......96..42..1........97......1......,978651243426389157315724968632417589149835672857296314284163795563978421791542836,25,43,13,1,0,0,0,0,0,Intermediate,
16...4....49......8.5..2.1.9.8..514........5......3...6.4....8523..59.........32.,162574938349186572875932614928765143713498256456213897694321785237859461581647329,26,53,2,1,0,0,0,0,0,Intermediate,
..3..41..2.718.93.8..9...4...4.132.7.2........31.4....1..479.....6..2............,963524178247186935815937642594613287628795413731248569182479356476352891359861724,27,39,15,1,0,1,3,0,0,Intermediate,
..6..........34....8.2...718..392...9..6...23........84.7....9.13.9..6.7......14.,246571839719834256583269471865392714974618523321457968457186392132945687698723145,26,43,12,1,0,2,0,0,0,Intermediate,
.35...8...94..15.........4..4..8.293...12.....7.93..........95.7......8....8..174,635479821894261537127358649541687293983124765276935418468713952719542386352896174,26,39,16,0,0,1,0,0,0,Intermediate,
........15.28.....3....587..2.4..7.6.........167........17.8..4..8..25..4..6..3..,786324951512897463394165872825419736943276185167583249251738694638942517479651328,25,42,14,3,0,4,0,0,0,Intermediate,
...289.........7......1...3.....8......97.48..8....37154932.1..21...4......1....5,753289614198643752462715893671438529325971486984562371549327168216854937837196245,26,48,7,1,0,0,0,0,0,Intermediate,
..39.7..1.9..8....87....3...5...3..6...7....93...2.57...8.35...1.5.......2.6.....,543967821291384765876512394457893216682751439319426578768135942135249687924678153,25,39,17,1,0,0,0,0,0,Intermediate,
.9.....34.38..416..4..65.....6..9....1..8...7..7.....81.9..........7.8.3.8..5....,695817234738294165241365789826749351913586427457123698179638542564972813382451976,25,36,20,2,0,0,0,0,0,Intermediate,
.452..1...17..4.2.86.3.......457...6..3..685.....1.........5.7..............2..38,945267183317984625862351794284573916173496852596812347638145279429738561751629438,25,44,12,1,0,0,0,0,0,Intermediate,
..........4.....6.9.1..8.......9.482.....5.71.7.2.1...6....2.17.921..54..8.5..6..,835617294247359168961428735516793482429865371378241956654932817792186543183574629,27,41,13,1,0,0,0,0,0,Intermediate,
